2025-11-14 05:42:58,353 - INFO - Initialising ECLASS inaccuracy checkers ...
2025-11-14 05:42:58,815 - INFO - [missing-definition] Segment 13 (1-original-classes): total = 306, inaccuracies = 0 (0.00%)
2025-11-14 05:42:58,820 - INFO - [missing-definition] Segment 14 (1-original-classes): total = 496, inaccuracies = 331 (66.73%)
2025-11-14 05:42:58,828 - INFO - [missing-definition] Segment 15 (1-original-classes): total = 1190, inaccuracies = 198 (16.64%)
2025-11-14 05:42:58,831 - INFO - [missing-definition] Segment 16 (1-original-classes): total = 340, inaccuracies = 135 (39.71%)
2025-11-14 05:42:58,835 - INFO - [missing-definition] Segment 17 (1-original-classes): total = 579, inaccuracies = 287 (49.57%)
2025-11-14 05:42:58,839 - INFO - [missing-definition] Segment 18 (1-original-classes): total = 371, inaccuracies = 208 (56.06%)
2025-11-14 05:42:58,845 - INFO - [missing-definition] Segment 19 (1-original-classes): total = 1231, inaccuracies = 710 (57.68%)
2025-11-14 05:42:58,849 - INFO - [missing-definition] Segment 20 (1-original-classes): total = 875, inaccuracies = 634 (72.46%)
2025-11-14 05:42:58,860 - INFO - [missing-definition] Segment 21 (1-original-classes): total = 3279, inaccuracies = 2554 (77.89%)
2025-11-14 05:42:58,870 - INFO - [missing-definition] Segment 22 (1-original-classes): total = 2259, inaccuracies = 1146 (50.73%)
2025-11-14 05:42:58,878 - INFO - [missing-definition] Segment 23 (1-original-classes): total = 1933, inaccuracies = 1042 (53.91%)
2025-11-14 05:42:58,886 - INFO - [missing-definition] Segment 24 (1-original-classes): total = 1876, inaccuracies = 1282 (68.34%)
2025-11-14 05:42:58,891 - INFO - [missing-definition] Segment 25 (1-original-classes): total = 1486, inaccuracies = 1150 (77.39%)
2025-11-14 05:42:58,894 - INFO - [missing-definition] Segment 26 (1-original-classes): total = 297, inaccuracies = 239 (80.47%)
2025-11-14 05:42:58,909 - INFO - [missing-definition] Segment 27 (1-original-classes): total = 3872, inaccuracies = 910 (23.50%)
2025-11-14 05:42:58,913 - INFO - [missing-definition] Segment 28 (1-original-classes): total = 409, inaccuracies = 154 (37.65%)
2025-11-14 05:42:58,917 - INFO - [missing-definition] Segment 29 (1-original-classes): total = 589, inaccuracies = 246 (41.77%)
2025-11-14 05:42:58,922 - INFO - [missing-definition] Segment 30 (1-original-classes): total = 1460, inaccuracies = 1204 (82.47%)
2025-11-14 05:42:58,927 - INFO - [missing-definition] Segment 31 (1-original-classes): total = 975, inaccuracies = 681 (69.85%)
2025-11-14 05:42:58,932 - INFO - [missing-definition] Segment 32 (1-original-classes): total = 896, inaccuracies = 596 (66.52%)
2025-11-14 05:42:58,937 - INFO - [missing-definition] Segment 33 (1-original-classes): total = 797, inaccuracies = 302 (37.89%)
2025-11-14 05:42:58,953 - INFO - [missing-definition] Segment 34 (1-original-classes): total = 3747, inaccuracies = 8 (0.21%)
2025-11-14 05:42:58,961 - INFO - [missing-definition] Segment 35 (1-original-classes): total = 978, inaccuracies = 0 (0.00%)
2025-11-14 05:42:58,969 - INFO - [missing-definition] Segment 36 (1-original-classes): total = 2123, inaccuracies = 1300 (61.23%)
2025-11-14 05:42:58,974 - INFO - [missing-definition] Segment 37 (1-original-classes): total = 638, inaccuracies = 390 (61.13%)
2025-11-14 05:42:58,979 - INFO - [missing-definition] Segment 38 (1-original-classes): total = 1632, inaccuracies = 1451 (88.91%)
2025-11-14 05:42:58,993 - INFO - [missing-definition] Segment 39 (1-original-classes): total = 5669, inaccuracies = 5181 (91.39%)
2025-11-14 05:42:58,997 - INFO - [missing-definition] Segment 40 (1-original-classes): total = 702, inaccuracies = 578 (82.34%)
2025-11-14 05:42:59,001 - INFO - [missing-definition] Segment 41 (1-original-classes): total = 567, inaccuracies = 411 (72.49%)
2025-11-14 05:42:59,006 - INFO - [missing-definition] Segment 42 (1-original-classes): total = 1267, inaccuracies = 1153 (91.00%)
2025-11-14 05:42:59,009 - INFO - [missing-definition] Segment 43 (1-original-classes): total = 145, inaccuracies = 0 (0.00%)
2025-11-14 05:42:59,013 - INFO - [missing-definition] Segment 44 (1-original-classes): total = 590, inaccuracies = 4 (0.68%)
2025-11-14 05:42:59,018 - INFO - [missing-definition] Segment 45 (1-original-classes): total = 747, inaccuracies = 561 (75.10%)
2025-11-14 05:42:59,022 - INFO - [missing-definition] Segment 46 (1-original-classes): total = 381, inaccuracies = 197 (51.71%)
2025-11-14 05:42:59,026 - INFO - [missing-definition] Segment 47 (1-original-classes): total = 333, inaccuracies = 36 (10.81%)
2025-11-14 05:42:59,033 - INFO - [missing-definition] Segment 48 (1-original-classes): total = 969, inaccuracies = 11 (1.14%)
2025-11-14 05:42:59,037 - INFO - [missing-definition] Segment 49 (1-original-classes): total = 243, inaccuracies = 2 (0.82%)
2025-11-14 05:42:59,047 - INFO - [missing-definition] Segment 50 (1-original-classes): total = 1264, inaccuracies = 1 (0.08%)
2025-11-14 05:42:59,053 - INFO - [missing-definition] Segment 51 (1-original-classes): total = 825, inaccuracies = 0 (0.00%)
2025-11-14 05:42:59,055 - INFO - [missing-definition] Segment 90 (1-original-classes): total = 5, inaccuracies = 2 (40.00%)
2025-11-14 05:42:59,177 - INFO - [missing-definition] Segment combined (1-original-classes): total = 48302, inaccuracies = 25295 (52.37%)
2025-11-14 05:42:59,185 - INFO - [structural-definition] Segment 13 (1-original-classes): total = 306, inaccuracies = 83 (27.12%)
2025-11-14 05:42:59,188 - INFO - [structural-definition] Segment 14 (1-original-classes): total = 496, inaccuracies = 112 (22.58%)
2025-11-14 05:42:59,195 - INFO - [structural-definition] Segment 15 (1-original-classes): total = 1190, inaccuracies = 252 (21.18%)
2025-11-14 05:42:59,198 - INFO - [structural-definition] Segment 16 (1-original-classes): total = 340, inaccuracies = 92 (27.06%)
2025-11-14 05:42:59,202 - INFO - [structural-definition] Segment 17 (1-original-classes): total = 579, inaccuracies = 283 (48.88%)
2025-11-14 05:42:59,206 - INFO - [structural-definition] Segment 18 (1-original-classes): total = 371, inaccuracies = 156 (42.05%)
2025-11-14 05:42:59,211 - INFO - [structural-definition] Segment 19 (1-original-classes): total = 1231, inaccuracies = 320 (26.00%)
2025-11-14 05:42:59,216 - INFO - [structural-definition] Segment 20 (1-original-classes): total = 875, inaccuracies = 230 (26.29%)
2025-11-14 05:42:59,226 - INFO - [structural-definition] Segment 21 (1-original-classes): total = 3279, inaccuracies = 607 (18.51%)
2025-11-14 05:42:59,238 - INFO - [structural-definition] Segment 22 (1-original-classes): total = 2259, inaccuracies = 574 (25.41%)
2025-11-14 05:42:59,248 - INFO - [structural-definition] Segment 23 (1-original-classes): total = 1933, inaccuracies = 546 (28.25%)
2025-11-14 05:42:59,256 - INFO - [structural-definition] Segment 24 (1-original-classes): total = 1876, inaccuracies = 463 (24.68%)
2025-11-14 05:42:59,263 - INFO - [structural-definition] Segment 25 (1-original-classes): total = 1486, inaccuracies = 272 (18.30%)
2025-11-14 05:42:59,266 - INFO - [structural-definition] Segment 26 (1-original-classes): total = 297, inaccuracies = 48 (16.16%)
2025-11-14 05:42:59,282 - INFO - [structural-definition] Segment 27 (1-original-classes): total = 3872, inaccuracies = 1128 (29.13%)
2025-11-14 05:42:59,287 - INFO - [structural-definition] Segment 28 (1-original-classes): total = 409, inaccuracies = 134 (32.76%)
2025-11-14 05:42:59,292 - INFO - [structural-definition] Segment 29 (1-original-classes): total = 589, inaccuracies = 164 (27.84%)
2025-11-14 05:42:59,298 - INFO - [structural-definition] Segment 30 (1-original-classes): total = 1460, inaccuracies = 223 (15.27%)
2025-11-14 05:42:59,303 - INFO - [structural-definition] Segment 31 (1-original-classes): total = 975, inaccuracies = 271 (27.79%)
2025-11-14 05:42:59,308 - INFO - [structural-definition] Segment 32 (1-original-classes): total = 896, inaccuracies = 246 (27.46%)
2025-11-14 05:42:59,314 - INFO - [structural-definition] Segment 33 (1-original-classes): total = 797, inaccuracies = 438 (54.96%)
2025-11-14 05:42:59,330 - INFO - [structural-definition] Segment 34 (1-original-classes): total = 3747, inaccuracies = 1256 (33.52%)
2025-11-14 05:42:59,338 - INFO - [structural-definition] Segment 35 (1-original-classes): total = 978, inaccuracies = 414 (42.33%)
2025-11-14 05:42:59,376 - INFO - [structural-definition] Segment 36 (1-original-classes): total = 2123, inaccuracies = 799 (37.64%)
2025-11-14 05:42:59,381 - INFO - [structural-definition] Segment 37 (1-original-classes): total = 638, inaccuracies = 229 (35.89%)
2025-11-14 05:42:59,387 - INFO - [structural-definition] Segment 38 (1-original-classes): total = 1632, inaccuracies = 167 (10.23%)
2025-11-14 05:42:59,400 - INFO - [structural-definition] Segment 39 (1-original-classes): total = 5669, inaccuracies = 293 (5.17%)
2025-11-14 05:42:59,405 - INFO - [structural-definition] Segment 40 (1-original-classes): total = 702, inaccuracies = 109 (15.53%)
2025-11-14 05:42:59,408 - INFO - [structural-definition] Segment 41 (1-original-classes): total = 567, inaccuracies = 150 (26.46%)
2025-11-14 05:42:59,414 - INFO - [structural-definition] Segment 42 (1-original-classes): total = 1267, inaccuracies = 107 (8.45%)
2025-11-14 05:42:59,417 - INFO - [structural-definition] Segment 43 (1-original-classes): total = 145, inaccuracies = 42 (28.97%)
2025-11-14 05:42:59,421 - INFO - [structural-definition] Segment 44 (1-original-classes): total = 590, inaccuracies = 230 (38.98%)
2025-11-14 05:42:59,425 - INFO - [structural-definition] Segment 45 (1-original-classes): total = 747, inaccuracies = 154 (20.62%)
2025-11-14 05:42:59,429 - INFO - [structural-definition] Segment 46 (1-original-classes): total = 381, inaccuracies = 39 (10.24%)
2025-11-14 05:42:59,433 - INFO - [structural-definition] Segment 47 (1-original-classes): total = 333, inaccuracies = 80 (24.02%)
2025-11-14 05:42:59,440 - INFO - [structural-definition] Segment 48 (1-original-classes): total = 969, inaccuracies = 343 (35.40%)
2025-11-14 05:42:59,445 - INFO - [structural-definition] Segment 49 (1-original-classes): total = 243, inaccuracies = 86 (35.39%)
2025-11-14 05:42:59,454 - INFO - [structural-definition] Segment 50 (1-original-classes): total = 1264, inaccuracies = 513 (40.59%)
2025-11-14 05:42:59,460 - INFO - [structural-definition] Segment 51 (1-original-classes): total = 825, inaccuracies = 363 (44.00%)
2025-11-14 05:42:59,463 - INFO - [structural-definition] Segment 90 (1-original-classes): total = 5, inaccuracies = 2 (40.00%)
2025-11-14 05:42:59,582 - INFO - [structural-definition] Segment combined (1-original-classes): total = 48302, inaccuracies = 12018 (24.88%)
2025-11-14 05:42:59,589 - INFO - [no-full-stop] Segment 13 (2-filtered-classes): total = 223, inaccuracies = 222 (99.55%)
2025-11-14 05:42:59,592 - INFO - [no-full-stop] Segment 14 (2-filtered-classes): total = 53, inaccuracies = 44 (83.02%)
2025-11-14 05:42:59,597 - INFO - [no-full-stop] Segment 15 (2-filtered-classes): total = 740, inaccuracies = 734 (99.19%)
2025-11-14 05:42:59,600 - INFO - [no-full-stop] Segment 16 (2-filtered-classes): total = 113, inaccuracies = 103 (91.15%)
2025-11-14 05:42:59,603 - INFO - [no-full-stop] Segment 17 (2-filtered-classes): total = 9, inaccuracies = 3 (33.33%)
2025-11-14 05:42:59,605 - INFO - [no-full-stop] Segment 18 (2-filtered-classes): total = 7, inaccuracies = 1 (14.29%)
2025-11-14 05:42:59,608 - INFO - [no-full-stop] Segment 19 (2-filtered-classes): total = 201, inaccuracies = 196 (97.51%)
2025-11-14 05:42:59,610 - INFO - [no-full-stop] Segment 20 (2-filtered-classes): total = 11, inaccuracies = 6 (54.55%)
2025-11-14 05:42:59,612 - INFO - [no-full-stop] Segment 21 (2-filtered-classes): total = 118, inaccuracies = 116 (98.31%)
2025-11-14 05:42:59,617 - INFO - [no-full-stop] Segment 22 (2-filtered-classes): total = 539, inaccuracies = 520 (96.47%)
2025-11-14 05:42:59,621 - INFO - [no-full-stop] Segment 23 (2-filtered-classes): total = 345, inaccuracies = 337 (97.68%)
2025-11-14 05:42:59,624 - INFO - [no-full-stop] Segment 24 (2-filtered-classes): total = 131, inaccuracies = 126 (96.18%)
2025-11-14 05:42:59,626 - INFO - [no-full-stop] Segment 25 (2-filtered-classes): total = 64, inaccuracies = 53 (82.81%)
2025-11-14 05:42:59,629 - INFO - [no-full-stop] Segment 26 (2-filtered-classes): total = 10, inaccuracies = 4 (40.00%)
2025-11-14 05:42:59,638 - INFO - [no-full-stop] Segment 27 (2-filtered-classes): total = 1834, inaccuracies = 1741 (94.93%)
2025-11-14 05:42:59,642 - INFO - [no-full-stop] Segment 28 (2-filtered-classes): total = 121, inaccuracies = 114 (94.21%)
2025-11-14 05:42:59,645 - INFO - [no-full-stop] Segment 29 (2-filtered-classes): total = 179, inaccuracies = 173 (96.65%)
2025-11-14 05:42:59,648 - INFO - [no-full-stop] Segment 30 (2-filtered-classes): total = 33, inaccuracies = 28 (84.85%)
2025-11-14 05:42:59,651 - INFO - [no-full-stop] Segment 31 (2-filtered-classes): total = 23, inaccuracies = 17 (73.91%)
2025-11-14 05:42:59,654 - INFO - [no-full-stop] Segment 32 (2-filtered-classes): total = 54, inaccuracies = 46 (85.19%)
2025-11-14 05:42:59,657 - INFO - [no-full-stop] Segment 33 (2-filtered-classes): total = 57, inaccuracies = 51 (89.47%)
2025-11-14 05:42:59,669 - INFO - [no-full-stop] Segment 34 (2-filtered-classes): total = 2483, inaccuracies = 2480 (99.88%)
2025-11-14 05:42:59,674 - INFO - [no-full-stop] Segment 35 (2-filtered-classes): total = 564, inaccuracies = 562 (99.65%)
2025-11-14 05:42:59,677 - INFO - [no-full-stop] Segment 36 (2-filtered-classes): total = 24, inaccuracies = 18 (75.00%)
2025-11-14 05:42:59,679 - INFO - [no-full-stop] Segment 37 (2-filtered-classes): total = 19, inaccuracies = 7 (36.84%)
2025-11-14 05:42:59,682 - INFO - [no-full-stop] Segment 38 (2-filtered-classes): total = 14, inaccuracies = 3 (21.43%)
2025-11-14 05:42:59,685 - INFO - [no-full-stop] Segment 39 (2-filtered-classes): total = 195, inaccuracies = 190 (97.44%)
2025-11-14 05:42:59,687 - INFO - [no-full-stop] Segment 40 (2-filtered-classes): total = 15, inaccuracies = 7 (46.67%)
2025-11-14 05:42:59,690 - INFO - [no-full-stop] Segment 41 (2-filtered-classes): total = 6, inaccuracies = 6 (100.00%)
2025-11-14 05:42:59,692 - INFO - [no-full-stop] Segment 42 (2-filtered-classes): total = 7, inaccuracies = 2 (28.57%)
2025-11-14 05:42:59,695 - INFO - [no-full-stop] Segment 43 (2-filtered-classes): total = 103, inaccuracies = 102 (99.03%)
2025-11-14 05:42:59,699 - INFO - [no-full-stop] Segment 44 (2-filtered-classes): total = 356, inaccuracies = 350 (98.31%)
2025-11-14 05:42:59,701 - INFO - [no-full-stop] Segment 45 (2-filtered-classes): total = 32, inaccuracies = 23 (71.88%)
2025-11-14 05:42:59,705 - INFO - [no-full-stop] Segment 46 (2-filtered-classes): total = 145, inaccuracies = 144 (99.31%)
2025-11-14 05:42:59,708 - INFO - [no-full-stop] Segment 47 (2-filtered-classes): total = 217, inaccuracies = 216 (99.54%)
2025-11-14 05:42:59,713 - INFO - [no-full-stop] Segment 48 (2-filtered-classes): total = 615, inaccuracies = 610 (99.19%)
2025-11-14 05:42:59,717 - INFO - [no-full-stop] Segment 49 (2-filtered-classes): total = 155, inaccuracies = 150 (96.77%)
2025-11-14 05:42:59,723 - INFO - [no-full-stop] Segment 50 (2-filtered-classes): total = 750, inaccuracies = 750 (100.00%)
2025-11-14 05:42:59,728 - INFO - [no-full-stop] Segment 51 (2-filtered-classes): total = 462, inaccuracies = 462 (100.00%)
2025-11-14 05:42:59,730 - INFO - [no-full-stop] Segment 90 (2-filtered-classes): total = 1, inaccuracies = 1 (100.00%)
2025-11-14 05:42:59,766 - INFO - [no-full-stop] Segment combined (2-filtered-classes): total = 10989, inaccuracies = 10679 (97.18%)
2025-11-14 05:42:59,770 - INFO - [no-capital-start] Segment 13 (2-filtered-classes): total = 223, inaccuracies = 1 (0.45%)
2025-11-14 05:42:59,772 - INFO - [no-capital-start] Segment 14 (2-filtered-classes): total = 53, inaccuracies = 7 (13.21%)
2025-11-14 05:42:59,776 - INFO - [no-capital-start] Segment 15 (2-filtered-classes): total = 740, inaccuracies = 5 (0.68%)
2025-11-14 05:42:59,779 - INFO - [no-capital-start] Segment 16 (2-filtered-classes): total = 113, inaccuracies = 96 (84.96%)
2025-11-14 05:42:59,781 - INFO - [no-capital-start] Segment 17 (2-filtered-classes): total = 9, inaccuracies = 3 (33.33%)
2025-11-14 05:42:59,783 - INFO - [no-capital-start] Segment 18 (2-filtered-classes): total = 7, inaccuracies = 1 (14.29%)
2025-11-14 05:42:59,786 - INFO - [no-capital-start] Segment 19 (2-filtered-classes): total = 201, inaccuracies = 105 (52.24%)
2025-11-14 05:42:59,788 - INFO - [no-capital-start] Segment 20 (2-filtered-classes): total = 11, inaccuracies = 2 (18.18%)
2025-11-14 05:42:59,791 - INFO - [no-capital-start] Segment 21 (2-filtered-classes): total = 118, inaccuracies = 21 (17.80%)
2025-11-14 05:42:59,796 - INFO - [no-capital-start] Segment 22 (2-filtered-classes): total = 539, inaccuracies = 107 (19.85%)
2025-11-14 05:42:59,799 - INFO - [no-capital-start] Segment 23 (2-filtered-classes): total = 345, inaccuracies = 28 (8.12%)
2025-11-14 05:42:59,802 - INFO - [no-capital-start] Segment 24 (2-filtered-classes): total = 131, inaccuracies = 94 (71.76%)
2025-11-14 05:42:59,805 - INFO - [no-capital-start] Segment 25 (2-filtered-classes): total = 64, inaccuracies = 18 (28.12%)
2025-11-14 05:42:59,807 - INFO - [no-capital-start] Segment 26 (2-filtered-classes): total = 10, inaccuracies = 4 (40.00%)
2025-11-14 05:42:59,817 - INFO - [no-capital-start] Segment 27 (2-filtered-classes): total = 1834, inaccuracies = 420 (22.90%)
2025-11-14 05:42:59,820 - INFO - [no-capital-start] Segment 28 (2-filtered-classes): total = 121, inaccuracies = 1 (0.83%)
2025-11-14 05:42:59,822 - INFO - [no-capital-start] Segment 29 (2-filtered-classes): total = 179, inaccuracies = 168 (93.85%)
2025-11-14 05:42:59,825 - INFO - [no-capital-start] Segment 30 (2-filtered-classes): total = 33, inaccuracies = 2 (6.06%)
2025-11-14 05:42:59,827 - INFO - [no-capital-start] Segment 31 (2-filtered-classes): total = 23, inaccuracies = 1 (4.35%)
2025-11-14 05:42:59,829 - INFO - [no-capital-start] Segment 32 (2-filtered-classes): total = 54, inaccuracies = 14 (25.93%)
2025-11-14 05:42:59,832 - INFO - [no-capital-start] Segment 33 (2-filtered-classes): total = 57, inaccuracies = 49 (85.96%)
2025-11-14 05:42:59,843 - INFO - [no-capital-start] Segment 34 (2-filtered-classes): total = 2483, inaccuracies = 1288 (51.87%)
2025-11-14 05:42:59,848 - INFO - [no-capital-start] Segment 35 (2-filtered-classes): total = 564, inaccuracies = 194 (34.40%)
2025-11-14 05:42:59,851 - INFO - [no-capital-start] Segment 36 (2-filtered-classes): total = 24, inaccuracies = 9 (37.50%)
2025-11-14 05:42:59,854 - INFO - [no-capital-start] Segment 37 (2-filtered-classes): total = 19, inaccuracies = 6 (31.58%)
2025-11-14 05:42:59,856 - INFO - [no-capital-start] Segment 38 (2-filtered-classes): total = 14, inaccuracies = 1 (7.14%)
2025-11-14 05:42:59,860 - INFO - [no-capital-start] Segment 39 (2-filtered-classes): total = 195, inaccuracies = 9 (4.62%)
2025-11-14 05:42:59,862 - INFO - [no-capital-start] Segment 40 (2-filtered-classes): total = 15, inaccuracies = 5 (33.33%)
