2025-11-14 07:24:13,131 - INFO - Initialising ECLASS inaccuracy checkers ...
2025-11-14 07:24:13,611 - INFO - [missing-definition] Segment 13 (1-original-properties): total = 62, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,614 - INFO - [missing-definition] Segment 14 (1-original-properties): total = 64, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,616 - INFO - [missing-definition] Segment 15 (1-original-properties): total = 65, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,618 - INFO - [missing-definition] Segment 16 (1-original-properties): total = 42, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,621 - INFO - [missing-definition] Segment 17 (1-original-properties): total = 144, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,623 - INFO - [missing-definition] Segment 18 (1-original-properties): total = 43, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,632 - INFO - [missing-definition] Segment 19 (1-original-properties): total = 1859, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,636 - INFO - [missing-definition] Segment 20 (1-original-properties): total = 307, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,648 - INFO - [missing-definition] Segment 21 (1-original-properties): total = 3492, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,657 - INFO - [missing-definition] Segment 22 (1-original-properties): total = 2120, inaccuracies = 58 (2.74%)
2025-11-14 07:24:13,664 - INFO - [missing-definition] Segment 23 (1-original-properties): total = 1521, inaccuracies = 28 (1.84%)
2025-11-14 07:24:13,673 - INFO - [missing-definition] Segment 24 (1-original-properties): total = 1904, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,676 - INFO - [missing-definition] Segment 25 (1-original-properties): total = 156, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,678 - INFO - [missing-definition] Segment 26 (1-original-properties): total = 80, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,706 - INFO - [missing-definition] Segment 27 (1-original-properties): total = 8562, inaccuracies = 2 (0.02%)
2025-11-14 07:24:13,709 - INFO - [missing-definition] Segment 28 (1-original-properties): total = 73, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,718 - INFO - [missing-definition] Segment 29 (1-original-properties): total = 1871, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,721 - INFO - [missing-definition] Segment 30 (1-original-properties): total = 141, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,723 - INFO - [missing-definition] Segment 31 (1-original-properties): total = 42, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,727 - INFO - [missing-definition] Segment 32 (1-original-properties): total = 447, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,730 - INFO - [missing-definition] Segment 33 (1-original-properties): total = 45, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,741 - INFO - [missing-definition] Segment 34 (1-original-properties): total = 2598, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,745 - INFO - [missing-definition] Segment 35 (1-original-properties): total = 275, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,758 - INFO - [missing-definition] Segment 36 (1-original-properties): total = 3140, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,762 - INFO - [missing-definition] Segment 37 (1-original-properties): total = 394, inaccuracies = 0 (0.00%)
